"","Focal","Subgroup","Interaction","dyad"
"1","DAO","DAN",0.624055782,"DAO_DAN"
"2","DAR","DAN",0.502648617,"DAR_DAN"
"3","DAS","DAN",0.486404834,"DAS_DAN"
"4","DAX","DAN",0.517801374,"DAX_DAN"
"5","DIG","DAN",0.111185984,"DIG_DAN"
"6","DIT","DAN",0.683323649,"DIT_DAN"
"7","DIY","DAN",0.631452581,"DIY_DAN"
"8","DLF","DAN",0.809437387,"DLF_DAN"
"9","DLL","DAN",0.784972511,"DLL_DAN"
"10","DOC","DAN",0.495184136,"DOC_DAN"
"11","DRE","DAN",0.019450034,"DRE_DAN"
"12","DSY","DAN",0.496525584,"DSY_DAN"
"13","DUK","DAN",0.700061463,"DUK_DAN"
"14","OLI","DAN",0.78113879,"OLI_DAN"
"15","OLV","DAN",0.776463263,"OLV_DAN"
"16","DAN","DAO",0.624055782,"DAN_DAO"
"17","DAR","DAO",0.45971564,"DAR_DAO"
"18","DAS","DAO",0.443970767,"DAS_DAO"
"19","DAX","DAO",0.550331126,"DAX_DAO"
"20","DIG","DAO",0.073640743,"DIG_DAO"
"21","DIT","DAO",0.629715612,"DIT_DAO"
"22","DIY","DAO",0.619839803,"DIY_DAO"
"23","DLF","DAO",0.635851184,"DLF_DAO"
"24","DLL","DAO",0.615165336,"DLL_DAO"
"25","DOC","DAO",0.496478873,"DOC_DAO"
"26","DRE","DAO",0.045288532,"DRE_DAO"
"27","DSY","DAO",0.588850174,"DSY_DAO"
"28","DUK","DAO",0.738311688,"DUK_DAO"
"29","OLI","DAO",0.680507497,"OLI_DAO"
"30","OLV","DAO",0.648181276,"OLV_DAO"
"31","DAN","DAR",0.502648617,"DAN_DAR"
"32","DAO","DAR",0.45971564,"DAO_DAR"
"33","DAS","DAR",0.227797001,"DAS_DAR"
"34","DAX","DAR",0.643696163,"DAX_DAR"
"35","DIG","DAR",0.050199203,"DIG_DAR"
"36","DIT","DAR",0.463776383,"DIT_DAR"
"37","DIY","DAR",0.418300654,"DIY_DAR"
"38","DLF","DAR",0.600481348,"DLF_DAR"
"39","DLL","DAR",0.536773428,"DLL_DAR"
"40","DOC","DAR",0.496757458,"DOC_DAR"
"41","DRE","DAR",0.022355976,"DRE_DAR"
"42","DSY","DAR",0.523168909,"DSY_DAR"
"43","DUK","DAR",0.4511323,"DUK_DAR"
"44","OLI","DAR",0.495243425,"OLI_DAR"
"45","OLV","DAR",0.519277108,"OLV_DAR"
"46","DAN","DAS",0.486404834,"DAN_DAS"
"47","DAO","DAS",0.443970767,"DAO_DAS"
"48","DAR","DAS",0.227797001,"DAR_DAS"
"49","DAX","DAS",0.213551119,"DAX_DAS"
"50","DIG","DAS",0.174496644,"DIG_DAS"
"51","DIT","DAS",0.496973366,"DIT_DAS"
"52","DIY","DAS",0.407361963,"DIY_DAS"
"53","DLF","DAS",0.471060172,"DLF_DAS"
"54","DLL","DAS",0.475487301,"DLL_DAS"
"55","DOC","DAS",0.314540059,"DOC_DAS"
"56","DRE","DAS",0.056894889,"DRE_DAS"
"57","DSY","DAS",0.259715026,"DSY_DAS"
"58","DUK","DAS",0.439459127,"DUK_DAS"
"59","OLI","DAS",0.467842914,"OLI_DAS"
"60","OLV","DAS",0.44928401,"OLV_DAS"
"61","DAN","DAX",0.517801374,"DAN_DAX"
"62","DAO","DAX",0.550331126,"DAO_DAX"
"63","DAR","DAX",0.643696163,"DAR_DAX"
"64","DAS","DAX",0.213551119,"DAS_DAX"
"65","DIT","DAX",0.411322935,"DIT_DAX"
"66","DIY","DAX",0.421217828,"DIY_DAX"
"67","DLF","DAX",0.545066991,"DLF_DAX"
"68","DLL","DAX",0.544430538,"DLL_DAX"
"69","DOC","DAX",0.461538462,"DOC_DAX"
"70","DSY","DAX",0.691696113,"DSY_DAX"
"71","DUK","DAX",0.495472186,"DUK_DAX"
"72","OLI","DAX",0.499411765,"OLI_DAX"
"73","OLV","DAX",0.509754563,"OLV_DAX"
"74","DAN","DIG",0.111185984,"DAN_DIG"
"75","DAO","DIG",0.073640743,"DAO_DIG"
"76","DAR","DIG",0.050199203,"DAR_DIG"
"77","DAS","DIG",0.174496644,"DAS_DIG"
"78","DIT","DIG",0.119191919,"DIT_DIG"
"79","DIY","DIG",0.125189681,"DIY_DIG"
"80","DLF","DIG",0.118471338,"DLF_DIG"
"81","DLL","DIG",0.111330698,"DLL_DIG"
"82","DOC","DIG",0.140536149,"DOC_DIG"
"83","DRE","DIG",0.104651163,"DRE_DIG"
"84","DUK","DIG",0.068387997,"DUK_DIG"
"85","OLI","DIG",0.10846395,"OLI_DIG"
"86","OLV","DIG",0.092505064,"OLV_DIG"
"87","DAN","DIT",0.683323649,"DAN_DIT"
"88","DAO","DIT",0.629715612,"DAO_DIT"
"89","DAR","DIT",0.463776383,"DAR_DIT"
"90","DAS","DIT",0.496973366,"DAS_DIT"
"91","DAX","DIT",0.411322935,"DAX_DIT"
"92","DIG","DIT",0.119191919,"DIG_DIT"
"93","DIY","DIT",0.876975945,"DIY_DIT"
"94","DLF","DIT",0.642427556,"DLF_DIT"
"95","DLL","DIT",0.638749302,"DLL_DIT"
"96","DOC","DIT",0.482392398,"DOC_DIT"
"97","DRE","DIT",0.027479893,"DRE_DIT"
"98","DSY","DIT",0.464044253,"DSY_DIT"
"99","DUK","DIT",0.654166667,"DUK_DIT"
"100","OLI","DIT",0.749419954,"OLI_DIT"
"101","OLV","DIT",0.673088149,"OLV_DIT"
"102","DAN","DIY",0.631452581,"DAN_DIY"
"103","DAO","DIY",0.619839803,"DAO_DIY"
"104","DAR","DIY",0.418300654,"DAR_DIY"
"105","DAS","DIY",0.407361963,"DAS_DIY"
"106","DAX","DIY",0.421217828,"DAX_DIY"
"107","DIG","DIY",0.125189681,"DIG_DIY"
"108","DIT","DIY",0.876975945,"DIT_DIY"
"109","DLF","DIY",0.570316843,"DLF_DIY"
"110","DLL","DIY",0.567690557,"DLL_DIY"
"111","DOC","DIY",0.447892272,"DOC_DIY"
"112","DRE","DIY",0.003706449,"DRE_DIY"
"113","DSY","DIY",0.479516454,"DSY_DIY"
"114","DUK","DIY",0.59803319,"DUK_DIY"
"115","OLI","DIY",0.708007225,"OLI_DIY"
"116","OLV","DIY",0.635423007,"OLV_DIY"
"117","DAN","DLF",0.809437387,"DAN_DLF"
"118","DAO","DLF",0.635851184,"DAO_DLF"
"119","DAR","DLF",0.600481348,"DAR_DLF"
"120","DAS","DLF",0.471060172,"DAS_DLF"
"121","DAX","DLF",0.545066991,"DAX_DLF"
"122","DIG","DLF",0.118471338,"DIG_DLF"
"123","DIT","DLF",0.642427556,"DIT_DLF"
"124","DIY","DLF",0.570316843,"DIY_DLF"
"125","DLL","DLF",0.90743073,"DLL_DLF"
"126","DOC","DLF",0.566457501,"DOC_DLF"
"127","DRE","DLF",0.03170577,"DRE_DLF"
"128","DSY","DLF",0.511599512,"DSY_DLF"
"129","DUK","DLF",0.640776699,"DUK_DLF"
"130","OLI","DLF",0.725860155,"OLI_DLF"
"131","OLV","DLF",0.701149425,"OLV_DLF"
"132","DAN","DLL",0.784972511,"DAN_DLL"
"133","DAO","DLL",0.615165336,"DAO_DLL"
"134","DAR","DLL",0.536773428,"DAR_DLL"
"135","DAS","DLL",0.475487301,"DAS_DLL"
"136","DAX","DLL",0.544430538,"DAX_DLL"
"137","DIG","DLL",0.111330698,"DIG_DLL"
"138","DIT","DLL",0.638749302,"DIT_DLL"
"139","DIY","DLL",0.567690557,"DIY_DLL"
"140","DLF","DLL",0.90743073,"DLF_DLL"
"141","DOC","DLL",0.54650491,"DOC_DLL"
"142","DRE","DLL",0.033156499,"DRE_DLL"
"143","DSY","DLL",0.512884978,"DSY_DLL"
"144","DUK","DLL",0.61427749,"DUK_DLL"
"145","OLI","DLL",0.70555244,"OLI_DLL"
"146","OLV","DLL",0.684731935,"OLV_DLL"
"147","DAN","DOC",0.495184136,"DAN_DOC"
"148","DAO","DOC",0.496478873,"DAO_DOC"
"149","DAR","DOC",0.496757458,"DAR_DOC"
"150","DAS","DOC",0.314540059,"DAS_DOC"
"151","DAX","DOC",0.461538462,"DAX_DOC"
"152","DIG","DOC",0.140536149,"DIG_DOC"
"153","DIT","DOC",0.482392398,"DIT_DOC"
"154","DIY","DOC",0.447892272,"DIY_DOC"
"155","DLF","DOC",0.566457501,"DLF_DOC"
"156","DLL","DOC",0.54650491,"DLL_DOC"
"157","DRE","DOC",0.039119804,"DRE_DOC"
"158","DSY","DOC",0.374757282,"DSY_DOC"
"159","DUK","DOC",0.453863899,"DUK_DOC"
"160","OLI","DOC",0.529672768,"OLI_DOC"
"161","OLV","DOC",0.512761021,"OLV_DOC"
"162","DAN","DRE",0.019450034,"DAN_DRE"
"163","DAO","DRE",0.045288532,"DAO_DRE"
"164","DAR","DRE",0.022355976,"DAR_DRE"
"165","DAS","DRE",0.056894889,"DAS_DRE"
"166","DIG","DRE",0.104651163,"DIG_DRE"
"167","DIT","DRE",0.027479893,"DIT_DRE"
"168","DIY","DRE",0.003706449,"DIY_DRE"
"169","DLF","DRE",0.03170577,"DLF_DRE"
"170","DLL","DRE",0.033156499,"DLL_DRE"
"171","DOC","DRE",0.039119804,"DOC_DRE"
"172","DUK","DRE",0.040831477,"DUK_DRE"
"173","OLI","DRE",0.027586207,"OLI_DRE"
"174","OLV","DRE",0.030449827,"OLV_DRE"
"175","DAN","DSY",0.496525584,"DAN_DSY"
"176","DAO","DSY",0.588850174,"DAO_DSY"
"177","DAR","DSY",0.523168909,"DAR_DSY"
"178","DAS","DSY",0.259715026,"DAS_DSY"
"179","DAX","DSY",0.691696113,"DAX_DSY"
"180","DIT","DSY",0.464044253,"DIT_DSY"
"181","DIY","DSY",0.479516454,"DIY_DSY"
"182","DLF","DSY",0.511599512,"DLF_DSY"
"183","DLL","DSY",0.512884978,"DLL_DSY"
"184","DOC","DSY",0.374757282,"DOC_DSY"
"185","DUK","DSY",0.568641115,"DUK_DSY"
"186","OLI","DSY",0.494294294,"OLI_DSY"
"187","OLV","DSY",0.508387097,"OLV_DSY"
"188","DAN","DUK",0.700061463,"DAN_DUK"
"189","DAO","DUK",0.738311688,"DAO_DUK"
"190","DAR","DUK",0.4511323,"DAR_DUK"
"191","DAS","DUK",0.439459127,"DAS_DUK"
"192","DAX","DUK",0.495472186,"DAX_DUK"
"193","DIG","DUK",0.068387997,"DIG_DUK"
"194","DIT","DUK",0.654166667,"DIT_DUK"
"195","DIY","DUK",0.59803319,"DIY_DUK"
"196","DLF","DUK",0.640776699,"DLF_DUK"
"197","DLL","DUK",0.61427749,"DLL_DUK"
"198","DOC","DUK",0.453863899,"DOC_DUK"
"199","DRE","DUK",0.040831477,"DRE_DUK"
"200","DSY","DUK",0.568641115,"DSY_DUK"
"201","OLI","DUK",0.654243119,"OLI_DUK"
"202","OLV","DUK",0.640671866,"OLV_DUK"
"203","DAN","OLI",0.78113879,"DAN_OLI"
"204","DAO","OLI",0.680507497,"DAO_OLI"
"205","DAR","OLI",0.495243425,"DAR_OLI"
"206","DAS","OLI",0.467842914,"DAS_OLI"
"207","DAX","OLI",0.499411765,"DAX_OLI"
"208","DIG","OLI",0.10846395,"DIG_OLI"
"209","DIT","OLI",0.749419954,"DIT_OLI"
"210","DIY","OLI",0.708007225,"DIY_OLI"
"211","DLF","OLI",0.725860155,"DLF_OLI"
"212","DLL","OLI",0.70555244,"DLL_OLI"
"213","DOC","OLI",0.529672768,"DOC_OLI"
"214","DRE","OLI",0.027586207,"DRE_OLI"
"215","DSY","OLI",0.494294294,"DSY_OLI"
"216","DUK","OLI",0.654243119,"DUK_OLI"
"217","OLV","OLI",0.90268886,"OLV_OLI"
"218","DAN","OLV",0.776463263,"DAN_OLV"
"219","DAO","OLV",0.648181276,"DAO_OLV"
"220","DAR","OLV",0.519277108,"DAR_OLV"
"221","DAS","OLV",0.44928401,"DAS_OLV"
"222","DAX","OLV",0.509754563,"DAX_OLV"
"223","DIG","OLV",0.092505064,"DIG_OLV"
"224","DIT","OLV",0.673088149,"DIT_OLV"
"225","DIY","OLV",0.635423007,"DIY_OLV"
"226","DLF","OLV",0.701149425,"DLF_OLV"
"227","DLL","OLV",0.684731935,"DLL_OLV"
"228","DOC","OLV",0.512761021,"DOC_OLV"
"229","DRE","OLV",0.030449827,"DRE_OLV"
"230","DSY","OLV",0.508387097,"DSY_OLV"
"231","DUK","OLV",0.640671866,"DUK_OLV"
"232","OLI","OLV",0.90268886,"OLI_OLV"
